id1,group,id3
GroEL_3300008620_____Ga0111272_100553_37,KS_soil,KS_soil
GroEL_3300008729_____Ga0113885_100002_21,KS_soil,KS_soil
GroEL_3300009151_____Ga0114962_10000230_5,KS_soil,KS_soil
GroEL_3300009154_____Ga0114963_10002970_1,KS_soil,KS_soil
GroEL_3300009159_____Ga0114978_10000604_10,KS_soil,KS_soil
GroEL_3300009159_____Ga0114978_10000674_25,KS_soil,KS_soil
GroEL_3300009159_____Ga0114978_10008423_6,KS_soil,KS_soil
GroEL_3300009160_____Ga0114981_10001313_22,KS_soil,KS_soil
GroEL_3300009161_____Ga0114966_10000323_2,KS_soil,KS_soil
GroEL_3300009163_____Ga0114970_10000186_42,KS_soil,KS_soil
GroEL_3300009163_____Ga0114970_10000688_20,KS_soil,KS_soil
GroEL_3300009164_____Ga0114975_10000164_31,KS_soil,KS_soil
GroEL_3300009181_____Ga0114969_10000108_49,KS_soil,KS_soil
GroEL_3300009181_____Ga0114969_10000181_5,KS_soil,KS_soil
GroEL_3300009181_____Ga0114969_10000332_25,KS_soil,KS_soil
GroEL_3300009181_____Ga0114969_10000662_36,KS_soil,KS_soil
GroEL_3300009182_____Ga0114959_10000535_38,KS_soil,KS_soil
GroEL_3300009182_____Ga0114959_10000919_4,KS_soil,KS_soil
GroEL_3300009182_____Ga0114959_10001610_10,KS_soil,KS_soil
GroEL_3300009183_____Ga0114974_10000126_42,KS_soil,KS_soil
GroEL_3300009183_____Ga0114974_10000317_45,KS_soil,KS_soil
GroEL_3300009183_____Ga0114974_10000730_12,KS_soil,KS_soil
GroEL_3300009183_____Ga0114974_10005058_8,KS_soil,KS_soil
GroEL_3300009184_____Ga0114976_10000420_28,KS_soil,KS_soil
GroEL_3300009184_____Ga0114976_10000876_21,KS_soil,KS_soil
GroEL_3300009185_____Ga0114971_10000078_38,KS_soil,KS_soil
GroEL_3300009185_____Ga0114971_10000124_2,KS_soil,KS_soil
GroEL_3300009185_____Ga0114971_10000436_29,KS_soil,KS_soil
GroEL_3300009425_____Ga0114997_10011500_7,KS_soil,KS_soil
GroEL_3300009432_____Ga0115005_10008717_11,KS_soil,KS_soil
GroEL_3300009434_____Ga0115562_1000480_38,KS_soil,KS_soil
GroEL_3300009434_____Ga0115562_1001045_2,KS_soil,KS_soil
