DNA_viral_contig,A_dry_1,A_dry_2,A_dry_3,C_dry_1,C_dry_2,C_dry_3,C_wet_1,C_wet_2,C_wet_3,A_wet_1,A_wet_2,A_wet_3
VC_142,0,3.355814946,0,0,3.969009518,0,0,3.161485782,2.894303836,0,0,0
VC_143,0,0.77632019,0,0,0,0,0,0,0,0,0,0
VC_144,0,0,0,1.470400663,0,0,0,0,0,0,0,0
VC_145,0,2.334150743,0,0,0,0,0,0,0,0,0,0
VC_146,0,0,1.811043278,0.757528698,0,0,0,0,0,0,1.41898441,0.808357478
VC_147,0,0,0,0,0,0,0,0,0.574841093,0,0,0
VC_148,0,0,0,0,0,0,1.704705599,2.960513745,0,0,0,0
VC_149,0,0,0,0,0.636936338,0,0.584275157,0,0,0,0,0
VC_150,0,0,0,0,0,0,0.467362453,0,0,0,0,0
VC_151,0,0,0,0,0,2.735675449,0,0,0,0,0,0
VC_152,0,0,0,0,0,0,0,0,0,0,1.669863305,0
VC_153,0,0.309512941,0.721607625,0,0,0,0,0,0,0,0,0
VC_154,0,0,0,0,0,0.425832292,0.359575275,0,0,0,0,0
VC_155,0,0,0,0,0,0,0,0.568328607,0,0,0,0
VC_156,0,0,0,0.563624175,0,0,0,0,0,0,0,0
VC_157,0,0.303413733,0,0,0.358855305,0.389842816,0,0.571687187,0,0,0.554250803,0.315741863
VC_158,0,20.51697928,0,0,0,0,0,0,3.932303432,0,0,0
VC_159,0,0,0,0,2.644417725,2.872765814,0,0,0,0,0,0
VC_160,0,0,0,0,0,0,0,0,0,0,1.026207881,0
VC_161,0,0,0,0,0,0,0,0,0,0,0,1.389620456
VC_162,0,0,0,0.747877591,0,0,0,0,0,0,0,0
VC_163,0,0,0,0,0,0,0,0,0,0,0,0.844087282
VC_164,0,0.526413506,0,0,0,0,0,0,0,0,0,0
VC_165,0,0,0,0.323734215,0,0,0,0,0,0,0,0
VC_166,0,1.66490509,0,0,0,0,0,0,0,0,0,0
VC_167,0,1.1913687,0,0,0,0,0,0,0,0,0,0
VC_168,0,0,0,0,0,0.869935774,0,0,0,0,0,0
VC_169,0,0.713184582,0,0,0,0,0,0,0,0,0,0
VC_170,0,1.046789888,0,0,0,0,0,0,0,0,0,0
VC_171,0,22.95072825,0,0,0.696010834,0.756112059,0,0,0,1.372737494,0,0
VC_172,0,0,0,0,1.453196649,0,1.333047982,0,2.119416754,0,0,0
VC_173,0,0,0,0,0.768627349,0,0,0,0,0,0,0
VC_174,0,0,0,0,0,0.627300212,0,0,0,0,0,0
VC_175,0,0,0,0,0.859188156,0,0,0,0,0,0,0
VC_176,0,0.294911177,0,0,0.348799111,0,0,0,0,0.687934145,0,0
VC_177,0,0,0,0.328426241,0,0,0,0,0,0,0,0
