VC,wet,dry
3300009420_____Ga0114994_10006062,F,T
3300009426_____Ga0115547_1000609,F,T
3300009437_____Ga0115556_1000396,T,T
3300009449_____Ga0115558_1001997,F,T
3300009467_____Ga0115565_10000595,F,T
3300009467_____Ga0115565_10003555,F,T
3300009502_____Ga0114951_10002729,T,T
3300009529_____Ga0114919_10000144,T,T
3300009705_____Ga0115000_10001303,T,T
3300009705_____Ga0115000_10001350,T,T
3300009706_____Ga0115002_10000905,F,T
3300009706_____Ga0115002_10003636,F,T
3300009706_____Ga0115002_10003946,F,T
3300009768_____Ga0116193_1001570,T,T
3300009779_____Ga0116152_10001031,F,T
3300009786_____Ga0114999_10001356,F,T
3300010038_____Ga0126315_10000854,T,T
3300010045_____Ga0126311_10000135,F,T
3300010150_____Ga0098056_1000721,F,T
3300010158_____Ga0114960_10000959,F,T
3300010334_____Ga0136644_10000470,F,T
3300010334_____Ga0136644_10004508,T,T
3300010366_____Ga0126379_10003098,F,T
3300010397_____Ga0134124_10002987,F,T
3300011343_____Ga0118483_10016,T,T
3300011380_____Ga0153936_100074,F,T
3300011390_____Ga0153932_1000244,F,T
3300011814_____Ga0121684_100546,F,T
3300011852_____Ga0122187_100121,F,T
3300011877_____Ga0121633_100204,T,T
3300012035_____Ga0137445_1000007,F,T
3300012060_____Ga0153937_1000240,F,T
3300012063_____Ga0153993_100207,T,T
3300012082_____Ga0153948_1000533,T,T
3300012089_____Ga0153924_1000611,T,T
3300012150_____Ga0153945_1000180,F,T
3300012204_____Ga0137374_10010655,F,T
3300012211_____Ga0137377_10009961,T,T
3300012353_____Ga0137367_10000144,T,T
3300012353_____Ga0137367_10002252,F,T
3300012360_____Ga0137375_10007627,F,T
3300012532_____Ga0137373_10000919,F,T
3300012549_____Ga0118504_100034,F,T
3300013004_____Ga0164293_10000228,F,T
3300013004_____Ga0164293_10000923,F,T
3300013006_____Ga0164294_10001739,F,T
3300013094_____Ga0164297_10002700,F,T
3300013132_____Ga0172372_10015291,F,T
3300013351_____Ga0118628_100004,F,T
3300013929_____Ga0120998_100146,T,T
3300014055_____Ga0119878_1000337,T,T
3300014497_____Ga0182008_10000324,F,T
3300014626_____Ga0121506_10184,F,T
3300014694_____Ga0121485_100067,F,T
3300014939_____Ga0134458_100318,F,T
3300014951_____Ga0169829_100599,F,T
3300014963_____Ga0134523_1007134,T,T
3300015199_____Ga0167647_1000029,F,T
3300015245_____Ga0137409_10003848,F,T
3300015264_____Ga0137403_10016491,F,T
3300015372_____Ga0132256_100000392,F,T
3300015372_____Ga0132256_100008147,F,T
3300017446_____Ga0182217_1000066,F,T
3300017692_____Ga0182210_1000034,T,T
3300017967_____Ga0181590_10001239,F,T
3300018052_____Ga0184638_1000143,T,T
3300018086_____Ga0187769_10005437,F,T
3300018410_____Ga0181561_10001631,F,T
3300018421_____Ga0181592_10001322,F,T
3300018868_____Ga0187844_10003344,F,T
3300019730_____Ga0194001_1000008,T,T
3300019877_____Ga0193722_1000110,F,T
3300019879_____Ga0193723_1000711,T,T
3300019882_____Ga0193713_1000031,T,T
3300019884_____Ga0193741_1000038,F,T
3300020354_____Ga0211608_10000105,T,T
3300020818_____Ga0214277_10168730,T,T
3300024187_____Ga0247672_1000031,T,T
3300024279_____Ga0247692_1000074,F,T
3300024519_____Ga0255046_10000279,F,T
3300025075_____Ga0209615_100006,T,T
3300028132_____Ga0228649_1000362,F,T
7000000653_____SRS016740_Baylor_scaffold_7106,F,T
7000000715_____SRS014683_WUGC_scaffold_32291,F,T
Kansas_Scaffold105098385_43300,T,T
Kansas_Scaffold123529679_3068,T,T
Kansas_Scaffold123529749_3493,F,T
Kansas_Scaffold132637601_4840,F,T
Kansas_Scaffold138783584_3445,F,T
Kansas_Scaffold141075978_24409,T,T
Kansas_Scaffold148629869_39999,F,T
Kansas_Scaffold15048157_3506,F,T
Kansas_Scaffold158428019_6832,F,T
Kansas_Scaffold166028026_18172,T,T
Kansas_Scaffold183228038_11999,F,T
Kansas_Scaffold204517944_3536,F,T
Kansas_Scaffold22053497_3306,T,T
Kansas_Scaffold240020649_10578,T,T
Kansas_Scaffold257908576_11801,T,T
Kansas_Scaffold257908773_34058,T,T
Kansas_Scaffold266424205_14364,F,T
Kansas_Scaffold282209579_3540,F,T
Kansas_Scaffold328032312_6428,T,T
Kansas_Scaffold373761650_5711,F,T
Kansas_Scaffold3822899_7469,F,T
Kansas_Scaffold3840359_5126,F,T
Kansas_Scaffold412718346_4841,F,T
Kansas_Scaffold412726031_5222,F,T
Kansas_Scaffold42221038_3581,F,T
Kansas_Scaffold43444670_36695,T,T
Kansas_Scaffold461219698_13991,T,T
Kansas_Scaffold469733606_2673,T,T
Kansas_Scaffold5720476_7733,F,T
Kansas_Scaffold57886941_3251,F,T
Kansas_Scaffold5891858_9684,T,T
Kansas_Scaffold59159502_22775,F,T
Kansas_Scaffold59501076_6064,F,T
Kansas_Scaffold74909668_7852,F,T
Kansas_Scaffold98660811_3963,F,T
NC_006641,T,T
NC_006647,F,T
NC_006658,F,T
NC_008912,T,T
NC_008913,T,T
NC_008925,T,T
NC_011038,F,T
NC_019723,F,T
NC_040625,F,T
NC_043307,F,T
NC_043325,T,T
REF:2547132004_____2547132004,T,T
REF:2556921395_____2556958009,F,T
REF:2556921512_____2556966638,F,T
REF:Actinobacteria_gi_408543508-152-15228,T,T
REF:Actinobacteria_gi_564945046,T,T
REF:Alphaproteobacteria_gi_381168833,F,T
REF:Alphaproteobacteria_gi_402850157,T,T
REF:Alphaproteobacteria_gi_421760367,T,T
REF:Alphaproteobacteria_gi_563543685,F,T
REF:Alphaproteobacteria_gi_563545195,F,T
REF:Bacilli_gi_418075088,T,T
REF:Bacilli_gi_418134205,T,T
REF:Bacilli_gi_419511460,F,T
REF:Bacilli_gi_507028129,T,T
REF:Gammaproteobacteria_gi_452704131-0-49186,F,T
REF:Gammaproteobacteria_gi_484105672-90012-113280,T,T
REF:Gammaproteobacteria_gi_487656782,T,T
REF:Gammaproteobacteria_gi_550552147,F,T
SRR3505613.103628.1,F,T
